101 83 70 
84 35 83 
73 68 67 
73 23 22 
69 11 10 
102 76 62 
94 60 63 
78 27 77 
103 94 93 
97 65 57 
104 97 57 
113 98 104 
87 66 59 
87 41 40 
90 61 58 
105 90 58 
114 91 105 
80 64 56 
80 32 31 
83 71 70 
37 20 16 
85 20 37 
115 84 101 
106 73 72 
74 67 69 
76 69 62 
76 75 69 
109 100 78 
77 26 76 
46 29 18 
92 29 46 
114 107 79 
107 80 79 
81 56 71 
82 81 71 
83 82 71 
115 106 72 
115 110 85 
55 38 19 
99 38 55 
113 108 86 
108 87 86 
88 59 61 
89 88 61 
90 89 61 
91 44 90 
114 111 92 
47 17 28 
109 77 102 
100 47 78 
94 49 93 
95 63 65 
96 95 65 
97 96 65 
98 53 97 
113 112 99 
56 0 15 
71 56 15 
57 6 5 
66 57 5 
58 2 1 
64 58 1 
59 4 3 
61 59 3 
60 9 8 
63 60 8 
61 3 2 
61 2 58 
62 10 9 
62 9 60 
63 8 7 
65 63 7 
64 1 0 
64 0 56 
65 7 6 
65 6 57 
66 5 4 
66 4 59 
67 12 11 
69 67 11 
68 13 12 
68 12 67 
75 74 69 
69 10 62 
70 14 13 
70 13 68 
71 15 14 
71 14 70 
72 22 21 
110 20 85 
74 73 67 
73 22 72 
74 24 23 
74 23 73 
75 25 24 
75 24 74 
76 26 25 
76 25 75 
102 77 76 
77 27 26 
78 47 28 
78 28 27 
79 31 30 
111 29 92 
81 80 56 
80 31 79 
81 33 32 
81 32 80 
82 34 33 
82 33 81 
83 35 34 
83 34 82 
115 68 106 
84 36 35 
85 37 36 
85 36 84 
86 40 39 
112 38 99 
88 87 59 
87 40 86 
88 42 41 
88 41 87 
89 43 42 
89 42 88 
90 44 43 
90 43 89 
114 64 107 
91 45 44 
92 46 45 
92 45 91 
93 49 48 
100 93 48 
95 94 63 
94 50 49 
95 51 50 
95 50 94 
96 52 51 
96 51 95 
97 53 52 
97 52 96 
113 66 108 
98 54 53 
99 55 54 
99 54 98 
100 48 47 
109 103 93 
101 84 83 
115 70 68 
102 62 60 
109 60 103 
103 60 94 
109 93 100 
104 98 97 
113 57 66 
105 91 90 
114 58 64 
106 68 73 
115 72 110 
107 64 80 
114 79 111 
108 66 87 
113 86 112 
109 78 77 
109 102 60 
110 72 21 
110 21 20 
111 79 30 
111 30 29 
112 86 39 
112 39 38 
113 99 98 
113 104 57 
114 92 91 
114 105 58 
115 85 84 
115 101 70 
